Date,Close/Last,Volume,Open,High,Low
12/16/2024,$75.75,126099600,$75.06,$77.82,$71.16
12/13/2024,$76.07,76172790,$73.49,$76.10,$72.45
12/12/2024,$73.20,73859670,$72.30,$75.38,$71.90
12/11/2024,$72.51,89477660,$72.98,$73.00,$68.07
12/10/2024,$70.89,89672470,$71.99,$75.56,$70.73
12/09/2024,$72.46,168134800,$80.58,$80.91,$71.05
12/06/2024,$76.34,93640900,$72.95,$76.82,$72.28
12/05/2024,$71.87,66585760,$70.11,$72.98,$69.89
12/04/2024,$69.85,86284800,$71.13,$71.18,$67.28
12/03/2024,$70.96,100751400,$66.41,$71.37,$66.15
12/02/2024,$66.39,46404970,$67.44,$67.88,$65.96
11/29/2024,$67.08,30104050,$65.89,$67.16,$65.47
11/27/2024,$66.05,53839900,$66.24,$67.56,$64.24
11/26/2024,$65.74,46923570,$64.57,$65.85,$63.89
11/25/2024,$64.65,80640470,$66.90,$67.88,$64.08
11/22/2024,$64.35,61381710,$61.60,$64.44,$61.37
11/21/2024,$61.36,56336740,$62.04,$63.40,$60.895
11/20/2024,$62.12,59182180,$62.59,$63.08,$59.96
11/19/2024,$62.98,75557820,$59.51,$63.01,$59.265
11/18/2024,$61.26,137877600,$64.92,$64.92,$58.85
11/15/2024,$65.77,155280400,$61.01,$66.00,$60.91
11/14/2024,$59.18,59968240,$61.05,$61.17,$58.53
11/13/2024,$60.70,85937360,$61.52,$63.39,$59.85
11/12/2024,$59.85,59061340,$59.01,$60.09,$58.57
11/11/2024,$60.24,108357800,$60.133,$62.08,$58.69
11/08/2024,$58.39,84124030,$55.57,$58.48,$55.30
11/07/2024,$55.88,121591200,$55.82,$56.47,$53.55
11/06/2024,$55.53,114255900,$53.44,$55.69,$51.61
11/05/2024,$51.13,208868200,$47.86,$51.575,$46.86
11/04/2024,$41.41,75413300,$41.08,$42.04,$41.0315
11/01/2024,$41.92,33722520,$41.93,$42.57,$41.59
10/31/2024,$41.56,50973360,$42.79,$43.32,$40.90
10/30/2024,$43.69,31309230,$44.58,$44.80,$43.61
10/29/2024,$44.93,26154710,$44.90,$45.07,$44.04
10/28/2024,$44.97,36729700,$45.05,$45.14,$44.68
10/25/2024,$44.86,50416490,$43.85,$45.07,$43.645
10/24/2024,$43.56,34079560,$42.89,$43.73,$42.66
10/23/2024,$42.59,35646980,$42.85,$43.68,$42.055
10/22/2024,$42.94,27830730,$42.69,$43.49,$42.30
10/21/2024,$42.70,30719780,$42.86,$43.40,$42.41
